interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;300.00;edge_data_300sec_freq;0;17.91;0;61;706545922#2;0;0;8.96;59;4.48;9.77;560.23;11.18;1.00;0.01;9.32;0.00
0.00;300.00;edge_data_300sec_freq;0;17.08;0;59;706545923#2;0;0;8.54;56;4.27;9.97;545.52;11.18;1.00;0.00;9.52;0.00
0.00;300.00;edge_data_300sec_freq;0;33.71;0;35;706549349#1;0;0;16.86;33;8.43;5.22;129.76;3.42;0.31;90.09;3.75;0.00
0.00;300.00;edge_data_300sec_freq;0;11.03;0;37;706549350#0;0;0;5.52;37;2.76;7.80;272.13;11.18;1.00;0.00;7.35;0.00
0.00;300.00;edge_data_300sec_freq;0;11.03;0;37;706549350#3;0;0;5.52;37;2.76;6.28;215.82;11.18;1.00;0.01;5.83;0.00
0.00;300.00;edge_data_300sec_freq;0;11.03;0;37;706549350#4;0;0;5.52;37;2.76;4.71;157.69;11.18;1.00;0.00;4.26;0.00
0.00;300.00;edge_data_300sec_freq;0;11.03;0;37;706549350#5;0;0;5.52;37;2.76;2.90;90.61;11.18;1.00;0.00;2.45;0.00
0.00;300.00;edge_data_300sec_freq;0;128.66;0;84;706550133#1;0;0;64.33;82;32.17;6.38;340.83;2.17;0.19;274.74;4.07;0.00
0.00;300.00;edge_data_300sec_freq;0;233.09;0;78;775083029;0;0;77.70;72;38.85;17.95;1027.25;1.10;0.10;926.48;13.40;0.00
0.00;300.00;edge_data_300sec_freq;0;182.99;0;147;775083030#0;0;0;91.50;145;45.75;4.57;395.26;2.67;0.24;300.86;2.70;0.00
0.00;300.00;edge_data_300sec_freq;0;147.41;0;145;775083030#1;0;0;73.70;142;36.85;7.51;861.01;3.26;0.29;610.17;5.98;0.00
0.00;300.00;edge_data_300sec_freq;0;0.61;0;6;778988067;0;0;0.30;0;0.15;16.18;45.34;15.65;1.00;0.00;15.86;0.00
0.00;300.00;edge_data_300sec_freq;0;4.23;0;17;850162147#1;0;0;1.41;17;0.70;1.51;19.26;13.41;1.00;0.00;1.13;0.00
0.00;300.00;edge_data_300sec_freq;0;3.94;0;17;850162147#2;0;0;1.31;15;0.66;6.67;99.84;13.41;1.00;0.01;6.30;0.00
0.00;300.00;edge_data_300sec_freq;0;3.90;0;17;85562484#0;0;0;1.30;15;0.65;5.58;84.83;13.90;1.00;0.00;5.22;0.00
